,FILE_NAME,JOB_CLASS_TITLE,JOB_CLASS_NO,REQUIREMENT_SET_ID,REQUIREMENT_SUBSET_ID,JOB_DUTIES,EDUCATION_YEARS,SCHOOL_TYPE,EDUCATION_MAJOR,EXPERIENCE_LENGTH,FULL_TIME_PART_TIME,EXP_JOB_CLASS_TITLE,EXP_JOB_CLASS_ALT_RESP,EXP_JOB_CLASS_FUNCTION,COURSE_COUNT,COURSE_LENGTH,COURSE_SUBJECT,MISC_COURSE_DETAILS,DRIVERS_LICENSE_REQ,DRIV_LIC_TYPE,ADDTL_LIC,EXAM_TYPE,ENTRY_SALARY_GEN,ENTRY_SALARY_DWP,OPEN_DATE,REQUIREMENT_SET_TEXT,REQUIREMENT_SUBSET_TEXT,REQUIREMENT_CONJUNCTION
0,311 DIRECTOR 9206 041814.txt,311 Director,9206,1,-,"A 311 Director is responsible for the successful operation and expansion of the 311 Call Center in the Information Technology Agency (ITA) which answers call from constituents regarding Citywide services provided by City departments; works to ensure the efficient and effective resolution of any issues that may arise; plans, directs, hires, coaches, and coordinates a large staff of professional, technical and clerical employees engaged in the implementation, administration, and operations of the City's 311 Call Center; applies sound supervisor principles and techniques in building and maintaining and effective work force; fulfills equal opportunity responsibilities; and does related work.",-,-,-,1.0,full time,Senior Management Analyst,provides professional experience in supervisory or managerial work relating to a call center with at least 50 call agents or a call center that receives at least one million calls annually;,-,-,-,-,-,-,-,-,OPEN_INT_PROM,"$125,175 to $155,514",-,04-18-14,One year of full-time paid experience as a Senior Management Analyst with the City of Los Angeles or in a class which is at least at the level which provides professional experience in supervisory or managerial work relating to a call center with at least 50 call agents or a call center that receives at least one million calls annually; or,-,or
1,311 DIRECTOR 9206 041814.txt,311 Director,9206,2,-,"A 311 Director is responsible for the successful operation and expansion of the 311 Call Center in the Information Technology Agency (ITA) which answers call from constituents regarding Citywide services provided by City departments; works to ensure the efficient and effective resolution of any issues that may arise; plans, directs, hires, coaches, and coordinates a large staff of professional, technical and clerical employees engaged in the implementation, administration, and operations of the City's 311 Call Center; applies sound supervisor principles and techniques in building and maintaining and effective work force; fulfills equal opportunity responsibilities; and does related work.",-,college or university,-,4.0,full time,-,-,"experience in a call center environment with at least 50 call agents or a call center that receives at least one million calls annually, two years of which must be supervising staff working at such a call cente",-,-,-,-,-,-,-,OPEN_INT_PROM,"$125,175 to $155,514",-,04-18-14,"A Bachelor's degree from a recognized college or university and four years of full-time paid experience in a call center environment with at least 50 call agents or a call center that receives at least one million calls annually, two years of which must be supervising staff working at such a call center; or",-,or
2,311 DIRECTOR 9206 041814.txt,311 Director,9206,3,-,"A 311 Director is responsible for the successful operation and expansion of the 311 Call Center in the Information Technology Agency (ITA) which answers call from constituents regarding Citywide services provided by City departments; works to ensure the efficient and effective resolution of any issues that may arise; plans, directs, hires, coaches, and coordinates a large staff of professional, technical and clerical employees engaged in the implementation, administration, and operations of the City's 311 Call Center; applies sound supervisor principles and techniques in building and maintaining and effective work force; fulfills equal opportunity responsibilities; and does related work.",-,-,-,8.0,full time,-,-,"experience in a call center environment with at least 50 call agents or call center that receives at least one million calls annually, two years of which must be supervising staff working at such a call center.",-,-,-,-,-,-,-,OPEN_INT_PROM,"$125,175 to $155,514",-,04-18-14,"Eight years of full-time paid experience in a call center environment with at least 50 call agents or call center that receives at least one million calls annually, two years of which must be supervising staff working at such a call center.",-,-
3,ACCOUNTANT 1513 062218.txt,Accountant,1513,1.,-,"An Accountant does professional accounting work in the analysis, preparation, maintenance, control, and reconciliation of financial records and reports in accordance with the principles of governmental and public accounting.",4.0,college or university,-,-,-,-,-,-,-,"24.0S,36.0Q",accounting.,-,P,-,-,OPEN,"$49,903 to $72,996",-,06-22-18,Graduation from an accredited four-year college or university and at least 24 semester or 36 quarter units in accounting.,-,-
4,ACCOUNTING CLERK 1223 071318.txt,Accounting Clerk,1223,1.,-,"An Accounting Clerk performs difficult and responsible clerical accounting work in the review, preparation, processing, reconciliation, and maintenance of accounting records and reports, or payroll and time keeping documents; processing and monitoring of invoice payments, and personal services contract invoice payments; may perform cashiering duties; or may act as a lead person in the performance of such work.",-,trade school or university,-,2.0,full time,-,-,"including one year of full-time paid clerical accounting work. Successful completion of 6 semester or 9 quarter units in bookkeeping or accounting from an accredited trade school, college or university may be substituted for a maximum of six months of the above require",-,"6.0S,9.0Q",bookkeeping or accounting,-,-,-,-,OPEN_INT_PROM,"$49,005 to $71,618",-,07-13-18,"Two years of full-time paid office clerical experience, including one year of full-time paid clerical accounting work. Successful completion of 6 semester or 9 quarter units in bookkeeping or accounting from an accredited trade school, college or university may be substituted for a maximum of six months of the above required experience.",-,-
5,ACCOUNTING RECORDS SUPERVISOR 1119 072718.txt,Accounting Records Supervisor,1119,1.,-,"An Accounting Records Supervisor assigns, reviews and evaluates the work of a group of clerical employees engaged in the preparation, processing, and maintenance of a wide variety of accounting or financial records; or supervises accounting clerical personnel serving as cashiers or tellers; applies sound supervisory techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",-,-,-,2.0,full time,Senior Administrative Clerk,Senior Administrative Clerk which provides experience in office clerical accounting or cashiering.,-,-,-,-,-,-,-,-,INT_DEPT_PROM,"$55,332 to $80,930",-,07-27-18,"Two years of full-time paid experience as an Accounting Clerk, or in a class at the level of Senior Administrative Clerk (formerly Senior Clerk) which provides experience in office clerical accounting or cashiering.",-,-
6,ADMINISTRATIVE ANALYST 1590 060118.txt,Administrative Analyst,1590,1,-,"An Administrative Analyst performs professional work in the Office of the City Administrative Officer investigating, assembling, and interpreting facts and making reports and recommendations in administrative, fiscal, budgetary, compensation, facilities, contract analysis, capital projects or procedural analysis of City activities and services.",-,-,-,1.0,full time,Management Assistant,-,"experience in budgetary analysis and control, administrative analysis and research, systems and procedures analysis, or personnel administrati",-,-,-,-,P,-,-,INT_DEPT_PROM,"$60,489 to $88,468",-,06-01-18,"One year of full-time paid professional experience as a Management Assistant with the City of Los Angeles with experience in budgetary analysis and control, administrative analysis and research, systems and procedures analysis, or personnel administration; or",-,or
7,ADMINISTRATIVE ANALYST 1590 060118.txt,Administrative Analyst,1590,2,-,"An Administrative Analyst performs professional work in the Office of the City Administrative Officer investigating, assembling, and interpreting facts and making reports and recommendations in administrative, fiscal, budgetary, compensation, facilities, contract analysis, capital projects or procedural analysis of City activities and services.",-,-,-,2.0,full time,Management Aide,-,"experience in budgetary analysis and control, administrative analysis and research, systems and procedures analysis, or personnel administrati",-,-,-,-,P,-,-,INT_DEPT_PROM,"$60,489 to $88,468",-,06-01-18,"Two years of full-time paid experience as a Management Aide with the City of Los Angeles with experience in budgetary analysis and control, administrative analysis and research, systems and procedures analysis, or personnel administration; or",-,or
8,ADMINISTRATIVE ANALYST 1590 060118.txt,Administrative Analyst,1590,3,-,"An Administrative Analyst performs professional work in the Office of the City Administrative Officer investigating, assembling, and interpreting facts and making reports and recommendations in administrative, fiscal, budgetary, compensation, facilities, contract analysis, capital projects or procedural analysis of City activities and services.",-,-,-,1.0,full time,Chief Clerk,-,-,-,-,-,-,P,-,-,INT_DEPT_PROM,"$60,489 to $88,468",-,06-01-18,One year of full-time paid experience with the City of Los Angeles as a Chief Clerk or in a clerical class at that level.,-,-
9,ADMINISTRATIVE CLERK 1358 033018 (2).txt,Administrative Clerk,1358,1.,-,"An Administrative Clerk performs general office work, which may include customer service, basic word processing, data entry, filing and organizing, and related work.",-,-,-,0.5,full time,-,-,experience in clerical work or retail sales.,-,-,-,-,P,-,-,OPEN,"$37,584 to $54,935","$43,785",03-30-18,Six months of full-time paid experience in clerical work or retail sales.,-,-
